0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,95.8392334,300,162.160553,300,146.6511993,300,170.3557587,300,169.8258667,300,155.6642151,
301.0700073,83.05612183,301.0700073,112.7348633,301.0700073,77.81961823,301.0700073,90.12071228,301.0700073,95.64279938,301.0700073,105.9890671,
302,82.44010162,302,101.5351639,302,47.26515961,302,53.94804382,302,70.54942322,302,92.99740601,
303.0700073,100.4195633,303.0700073,110.1258545,303.0700073,38.17119217,303.0700073,41.44927597,303.0700073,63.86103439,303.0700073,96.60523987,
304,117.9100418,304,130.1507568,304,39.42715836,304,43.08807373,304,69.96533203,304,114.4866028,
305.0700073,140.7561951,305.0700073,151.0919342,305.0700073,43.21899414,305.0700073,47.89676285,305.0700073,82.4315567,305.0700073,133.1095581,
306,159.7905884,306,172.2534637,306,48.16832733,306,51.53587723,306,93.95102692,306,151.9230804,
307.0700073,183.9493713,307.0700073,197.2575073,307.0700073,55.57515717,307.0700073,57.45908356,307.0700073,106.8515015,307.0700073,169.0999908,
308,203.7727356,308,213.5089264,308,61.90150452,308,63.1492424,308,114.691391,308,187.0693054,
309.0700073,234.0861206,309.0700073,236.9172211,309.0700073,72.03340149,309.0700073,70.57279968,309.0700073,131.4690857,309.0700073,206.598053,
310,247.242691,310,254.6114349,310,76.75561523,310,81.26452637,310,142.6385651,310,230.3563995,
310.9299927,265.0559692,310.9299927,274.8804626,310.9299927,85.96582031,310.9299927,90.46142578,310.9299927,156.4890137,310.9299927,244.3824005,
312.0299988,288.6586304,312.0299988,294.3347778,312.0299988,96.95968628,312.0299988,103.9526901,312.0299988,169.2088318,312.0299988,264.454895,
312.9599915,303.4847717,312.9599915,320.2964172,312.9599915,110.0599136,312.9599915,114.5114136,312.9599915,185.631958,312.9599915,285.6318054,
314.0599976,325.4246521,314.0599976,341.9340515,314.0599976,124.985733,314.0599976,130.2230072,314.0599976,202.4075165,314.0599976,309.8895874,
315,342.6091003,315,363.0809021,315,136.4955292,315,139.2588348,315,217.4795532,315,331.0794373,
315.9299927,367.1136169,315.9299927,390.2814941,315.9299927,148.2198029,315.9299927,155.0808411,315.9299927,238.279129,315.9299927,347.6621399,
317.0299988,389.7669983,317.0299988,407.6471558,317.0299988,167.1648407,317.0299988,172.4812317,317.0299988,254.6409302,317.0299988,365.5585632,
317.9599915,409.5639954,317.9599915,435.891449,317.9599915,179.5068512,317.9599915,188.7284088,317.9599915,270.2217712,317.9599915,381.4742126,
319.0599976,431.9074097,319.0599976,455.6393433,319.0599976,199.5767822,319.0599976,207.6449432,319.0599976,291.3619995,319.0599976,412.4992065,
320,456.8881836,320,479.4329529,320,215.2471466,320,226.1768188,320,306.6426086,320,428.3712158,
321.0700073,474.0978394,321.0700073,500.1761169,321.0700073,236.5489655,321.0700073,249.1318817,321.0700073,330.4056702,321.0700073,457.6313782,
322,492.899292,322,511.7174377,322,254.3541565,322,267.2120056,322,355.0702209,322,471.4023743,
323.0700073,501.642334,323.0700073,534.541687,323.0700073,280.7379456,323.0700073,289.0437012,323.0700073,371.7838135,323.0700073,492.9866638,
324,525.1871338,324,559.151062,324,303.5123901,324,313.4655457,324,385.5580139,324,513.0335693,
325.0700073,539.3270264,325.0700073,571.5012207,325.0700073,327.0744629,325.0700073,342.054657,325.0700073,409.934845,325.0700073,530.3775635,
326,550.7814331,326,588.2189331,326,347.203186,326,362.6933899,326,436.9701233,326,542.2901611,
327.0700073,558.6434937,327.0700073,593.0493774,327.0700073,373.6975708,327.0700073,388.1490784,327.0700073,453.0041504,327.0700073,561.5443115,
328,560.7700806,328,604.9710083,328,390.8764954,328,409.1092224,328,466.1223755,328,564.6757813,
329.0700073,564.9372559,329.0700073,619.8214722,329.0700073,405.4291382,329.0700073,428.1562805,329.0700073,477.657196,329.0700073,575.7003174,
330,566.8821411,330,614.1608887,330,424.1051636,330,447.087738,330,484.6113892,330,584.380127,
330.9299927,571.0353394,330.9299927,622.6350708,330.9299927,434.5752869,330.9299927,462.3956909,330.9299927,494.6834717,330.9299927,584.6113281,
332.0299988,571.1488647,332.0299988,626.7803345,332.0299988,447.5248718,332.0299988,474.1347656,332.0299988,507.7770996,332.0299988,589.8664551,
332.9599915,573.9263306,332.9599915,622.62323,332.9599915,462.589325,332.9599915,488.8939514,332.9599915,521.348938,332.9599915,599.7559814,
334.0599976,577.2302246,334.0599976,621.255127,334.0599976,480.1233826,334.0599976,512.1161499,334.0599976,532.3916626,334.0599976,605.906311,
335,565.437439,335,625.958374,335,497.6893005,335,524.449585,335,536.7915039,335,615.1390381,
335.9299927,571.2941284,335.9299927,626.1116943,335.9299927,511.4459839,335.9299927,537.8520508,335.9299927,550.1184692,335.9299927,612.1904907,
337.0299988,579.5620728,337.0299988,616.7228394,337.0299988,529.8793335,337.0299988,562.6276245,337.0299988,561.0666504,337.0299988,608.7208862,
337.9599915,575.7543335,337.9599915,624.1485596,337.9599915,546.0064087,337.9599915,578.9987183,337.9599915,565.3471069,337.9599915,620.0158691,
339.0599976,567.9238892,339.0599976,633.0030518,339.0599976,553.8171387,339.0599976,592.4971313,339.0599976,577.8407593,339.0599976,619.9848633,
340,562.3751221,340,623.5860596,340,573.4749756,340,605.8708496,340,592.076355,340,622.4276123,
341.0700073,558.2037354,341.0700073,622.5377197,341.0700073,591.4819946,341.0700073,626.6264648,341.0700073,593.5551147,341.0700073,620.6781006,
342,538.4485474,342,610.4521484,342,594.1729126,342,641.6218262,342,600.1047363,342,619.1222534,
343.0700073,542.5906372,343.0700073,617.4748535,343.0700073,610.6547241,343.0700073,648.8625488,343.0700073,605.9659424,343.0700073,616.0367432,
344,540.2056885,344,611.385437,344,614.9518433,344,658.7218628,344,603.2484131,344,614.8786011,
345.0700073,527.8598633,345.0700073,592.4909058,345.0700073,634.4887695,345.0700073,676.7515869,345.0700073,619.479126,345.0700073,621.7251587,
346,520.3540649,346,590.2996216,346,643.6484985,346,683.1117554,346,626.6518555,346,606.3250732,
347.0700073,510.7740784,347.0700073,592.6605225,347.0700073,648.2702637,347.0700073,696.6430664,347.0700073,619.2179565,347.0700073,609.56604,
348,509.5745239,348,586.7614746,348,663.8240356,348,696.6705933,348,620.3807983,348,605.5183105,
349.0700073,492.0661621,349.0700073,584.7578735,349.0700073,666.9093018,349.0700073,714.2772827,349.0700073,623.7122192,349.0700073,612.1732788,
350,490.0292969,350,571.380249,350,674.7800293,350,725.5993042,350,625.0223999,350,594.3770142,
351.0700073,484.9087219,351.0700073,560.7396851,351.0700073,667.9047852,351.0700073,717.7470093,351.0700073,625.1012573,351.0700073,584.9868774,
352,464.9132385,352,554.239502,352,672.9118652,352,723.46875,352,626.7990723,352,574.7246094,
353.0700073,458.1717834,353.0700073,541.7904663,353.0700073,687.0493164,353.0700073,735.7509766,353.0700073,625.1367798,353.0700073,571.2619019,
354,444.8055725,354,538.0860596,354,680.9335938,354,737.2950439,354,628.854126,354,560.5869141,
355.0700073,433.2420654,355.0700073,527.0935669,355.0700073,686.7681274,355.0700073,742.9375,355.0700073,611.2871094,355.0700073,555.795166,
